Entry_Date(YYYY-MM-DD),Symbol,Entry_Price,Buy/Sell,Target(10%),Stoploss,P_L,ROI,Exit_Price,Status,Exit_Date(YYYY-MM-DD)

2024-01-02,MANORAMA,2053.75,Buy,2259.125,1881.0,-182.0,-8.861838101034692,2259.125,Stoploss Hit,2024-01-31
2024-01-09,ESSENTIA,12.85,Buy,14.135000000000002,10.5,-6.449999999999999,-50.19455252918287,14.135000000000002,Stoploss Hit,2024-01-11
2024-02-07,MARSHALL,44.05,Buy,48.455,38.55,-5.649999999999999,-12.826333711691259,48.455,Stoploss Hit,2024-02-27
2024-03-15,AKZOINDIA,2394.9,Buy,2634.3900000000003,2267.0,239.49000000000024,10.000000000000009,2634.3900000000003,Target Reached,2024-05-18
2024-03-15,ARCHIDPLY,87.3,Buy,96.03,76.15,8.730000000000004,10.000000000000005,96.03,Target Reached,2024-04-03
2024-03-15,RELINFRA,237.5,Buy,261.25,181.6,23.75,10.0,261.25,Target Reached,2024-03-18
2024-04-02,MTNL,35.55,Buy,39.105,32.45,3.5549999999999997,10.0,39.105,Target Reached,2024-04-05
2024-04-02,SHYAMCENT,18.35,Buy,20.185000000000002,16.6,1.8350000000000009,10.000000000000004,20.185000000000002,Target Reached,2024-04-04
2024-05-14,JASH,2227.5,Buy,2450.25,1953.05,222.75,10.0,2450.25,Target Reached,2024-05-17
2024-05-18,TARC,159.4,Buy,175.34000000000003,146.8,15.940000000000026,10.000000000000016,175.34000000000003,Target Reached,2024-05-22
2024-05-22,MADHAV,45.4,Buy,49.940000000000005,41.2,4.540000000000006,10.000000000000014,49.940000000000005,Target Reached,2024-05-24
2024-06-06,ABSLAMC,585.05,Buy,643.555,517.35,58.504999999999995,10.0,643.555,Target Reached,2024-06-12
2024-06-06,BAJAJELEC,963.8,Buy,1060.18,820.15,96.38000000000011,10.000000000000012,1060.18,Target Reached,2024-06-18
2024-06-06,BBTC,1523.45,Buy,1675.795,1318.2,152.34500000000003,10.000000000000002,1675.795,Target Reached,2024-06-11
2024-06-06,CANFINHOME,763.95,Buy,840.3450000000001,680.0,76.3950000000001,10.00000000000001,840.3450000000001,Target Reached,2024-06-18
2024-06-06,HIMATSEIDE,127.65,Buy,140.41500000000002,116.7,12.765000000000015,10.00000000000001,140.41500000000002,Target Reached,2024-06-21
2024-06-06,LUMAXTECH,488.1,Buy,536.9100000000001,424.05,48.81000000000006,10.00000000000001,536.9100000000001,Target Reached,2024-06-20
2024-06-06,MANGCHEFER,110.75,Buy,121.825,94.4,11.075000000000003,10.000000000000002,121.825,Target Reached,2024-06-19
2024-06-06,NDL,45.8,Buy,50.38,36.1,4.580000000000005,10.000000000000012,50.38,Target Reached,2024-06-18
2024-06-06,ROSSELLIND,448.2,Buy,493.02000000000004,363.6,44.82000000000005,10.000000000000012,493.02000000000004,Target Reached,2024-06-14
2024-06-07,SHAHALLOYS,59.45,Buy,65.39500000000001,51.95,5.945000000000007,10.00000000000001,65.39500000000001,Target Reached,2024-06-11
